"Date","(Observed) Incoming Shortwave (W/ft2)","(Modeled) Incoming Shortwave (W/ft2)","(Modeled) Net Shortwave (W/ft2)","(Modeled) Incoming Longwave (W/ft2)","(Modeled) Net Longwave (W/ft2)","Date w/o Time","Hour","Forecasted from 0 UTC"
"2023-08-25 12:00:00",,0.00,,,,"2023-08-25","12","n"
"2023-08-25 13:00:00",,9.28,,,,"2023-08-25","13","n"
"2023-08-25 14:00:00",,18.55,,,,"2023-08-25","14","n"
"2023-08-25 15:00:00",,27.83,,,,"2023-08-25","15","n"
"2023-08-25 16:00:00",,44.86,,,,"2023-08-25","16","n"
"2023-08-25 17:00:00",,61.89,,,,"2023-08-25","17","n"
"2023-08-25 18:00:00",,78.92,,,,"2023-08-25","18","n"
"2023-08-25 19:00:00",,81.54,,,,"2023-08-25","19","n"
"2023-08-25 20:00:00",,84.17,,,,"2023-08-25","20","n"
"2023-08-25 21:00:00",,86.79,,,,"2023-08-25","21","n"
"2023-08-25 22:00:00",,72.51,,,,"2023-08-25","22","n"
"2023-08-25 23:00:00",,58.82,,,,"2023-08-25","23","n"
"2023-08-26 00:00:00",,45.12,,,,"2023-08-26","00","n"
"2023-08-26 01:00:00",,30.08,,,,"2023-08-26","01","n"
"2023-08-26 02:00:00",,15.04,,,,"2023-08-26","02","n"
"2023-08-26 03:00:00",,0.00,,,,"2023-08-26","03","n"
"2023-08-26 04:00:00",,0.00,,,,"2023-08-26","04","n"
"2023-08-26 05:00:00",,0.00,,,,"2023-08-26","05","n"
"2023-08-26 06:00:00",,0.00,,,,"2023-08-26","06","n"
"2023-08-26 07:00:00",,0.00,,,,"2023-08-26","07","n"
"2023-08-26 08:00:00",,0.00,,,,"2023-08-26","08","n"
"2023-08-26 09:00:00",,0.00,,,,"2023-08-26","09","n"
"2023-08-26 10:00:00",,0.00,,,,"2023-08-26","10","n"
"2023-08-26 11:00:00",,0.00,,,,"2023-08-26","11","n"
"2023-08-26 12:00:00",,0.00,,,,"2023-08-26","12","n"
"2023-08-26 13:00:00",,9.39,,,,"2023-08-26","13","n"
"2023-08-26 14:00:00",,18.79,,,,"2023-08-26","14","n"
"2023-08-26 15:00:00",,28.19,,,,"2023-08-26","15","n"
"2023-08-26 16:00:00",,45.41,,,,"2023-08-26","16","n"
"2023-08-26 17:00:00",,62.64,,,,"2023-08-26","17","n"
"2023-08-26 18:00:00",,79.86,,,,"2023-08-26","18","n"
"2023-08-26 19:00:00",,82.43,,,,"2023-08-26","19","n"
"2023-08-26 20:00:00",,85.01,,,,"2023-08-26","20","n"
"2023-08-26 21:00:00",,87.58,,,,"2023-08-26","21","n"
"2023-08-26 22:00:00",,73.52,,,,"2023-08-26","22","n"
"2023-08-26 23:00:00",,59.38,,,,"2023-08-26","23","n"
"2023-08-27 00:00:00",,45.24,,,,"2023-08-27","00","n"
"2023-08-27 01:00:00",,30.17,,,,"2023-08-27","01","n"
"2023-08-27 02:00:00",,15.08,,,,"2023-08-27","02","n"
"2023-08-27 03:00:00",,0.00,,,,"2023-08-27","03","n"
"2023-08-27 04:00:00",,0.00,,,,"2023-08-27","04","n"
"2023-08-27 05:00:00",,0.00,,,,"2023-08-27","05","n"
"2023-08-27 06:00:00",,0.00,,,,"2023-08-27","06","n"
"2023-08-27 07:00:00",,0.00,,,,"2023-08-27","07","n"
"2023-08-27 08:00:00",,0.00,,,,"2023-08-27","08","n"
"2023-08-27 09:00:00",,0.00,,,,"2023-08-27","09","n"
"2023-08-27 10:00:00",,0.00,,,,"2023-08-27","10","n"
"2023-08-27 11:00:00",,0.00,,,,"2023-08-27","11","n"
"2023-08-27 12:00:00",,0.00,,,,"2023-08-27","12","n"
"2023-08-27 13:00:00",,9.36,,,,"2023-08-27","13","n"
